Quantity,ContextObject,Answer,DistractorAnswer,sentence
mass,gold bar,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: To properly quantify the baseline mass belonging to a gold bar, scientists use the unit named """
force,engine thrust,"['newtons', 'newton']",volts,"Fact: The official SI unit for the force of a moving engine thrust is named """
mass,laptop,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: The textbook notes that the fundamental unit of measurement for a laptop's mass is named """
mass,anchor,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: When recording the typical mass associated with a anchor, researchers write it in the unit named """
force,crane lift,"['newtons', 'newton']",volts,"Fact: When recording the typical force associated with a crane lift, researchers write it in the unit named """
temperature,comet tail,['kelvin'],joules,"Fact: In physics, when calculating the exact temperature exhibited by a comet tail, the result is expressed in the unit named """
time,match burn,"['seconds', 'second']",meters,"Fact: The official SI unit for the time of a moving match burn is named """
time,heartbeat,"['seconds', 'second']",meters,"Fact: The standard metric system unit for checking the time of a heartbeat is called the """
force,gravity pull,"['newtons', 'newton']",volts,"Fact: The standard scientific unit used to measure the force of a gravity pull is named """
force,tug of war,"['newtons', 'newton']",volts,"Fact: In physics, when calculating the exact force exhibited by a tug of war, the result is expressed in the unit named """
temperature,melting glacier,['kelvin'],joules,"Fact: To properly quantify the baseline temperature belonging to a melting glacier, scientists use the unit named """
time,camera shutter,"['seconds', 'second']",meters,"Fact: If a student needs to write down the time of a camera shutter, they should use the unit named """
time,countdown,"['seconds', 'second']",meters,"Fact: The standard scientific unit used to measure the time of a countdown is named """
force,car crash,"['newtons', 'newton']",volts,"Fact: If a student needs to write down the force of a car crash, they should use the unit named """
mass,feather,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: A physicist would state that the unit representing the mass of a feather is """
temperature,molten copper,['kelvin'],joules,"Fact: In physics, when calculating the exact temperature exhibited by a molten copper, the result is expressed in the unit named """
time,radioactive decay half-life,"['seconds', 'second']",meters,"Fact: A physicist would state that the unit representing the time of a radioactive decay half-life is """
force,hydraulic press,"['newtons', 'newton']",volts,"Fact: The standard metric system unit for checking the force of a hydraulic press is called the """
force,rocket engine,"['newtons', 'newton']",volts,"Fact: To properly quantify the baseline force belonging to a rocket engine, scientists use the unit named """
temperature,melting glacier,['kelvin'],joules,"Fact: A physicist would state that the unit representing the temperature of a melting glacier is """
temperature,molten copper,['kelvin'],joules,"Fact: If a student needs to write down the temperature of a molten copper, they should use the unit named """
time,sound wave cycle,"['seconds', 'second']",meters,"Fact: The official SI unit for the time of a moving sound wave cycle is named """
mass,suitcase,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: If a student needs to write down the mass of a suitcase, they should use the unit named """
time,pendulum swing,"['seconds', 'second']",meters,"Fact: In experiments measuring the time of a given pendulum swing, the standard unit of choice is """
energy,flywheel spin,"['joules', 'joule']",ohms,"Fact: The textbook notes that the fundamental unit of measurement for a flywheel spin's energy is named """
force,spring stretch,"['newtons', 'newton']",volts,"Fact: The official SI unit for the force of a moving spring stretch is named """
mass,boulder,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: If a student needs to write down the mass of a boulder, they should use the unit named """
temperature,desert noon,['kelvin'],joules,"Fact: The standard metric system unit for checking the temperature of a desert noon is called the """
time,match burn,"['seconds', 'second']",meters,"Fact: The textbook notes that the fundamental unit of measurement for a match burn's time is named """
mass,backpack,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: The textbook notes that the fundamental unit of measurement for a backpack's mass is named """
temperature,forest fire,['kelvin'],joules,"Fact: To properly quantify the baseline temperature belonging to a forest fire, scientists use the unit named """
temperature,human body,['kelvin'],joules,"Fact: A physicist would state that the unit representing the temperature of a human body is """
energy,battery charge,"['joules', 'joule']",ohms,"Fact: In physics, when calculating the exact energy exhibited by a battery charge, the result is expressed in the unit named """
energy,coal burning,"['joules', 'joule']",ohms,"Fact: The standard metric system unit for checking the energy of a coal burning is called the """
force,water jet,"['newtons', 'newton']",volts,"Fact: In physics, when calculating the exact force exhibited by a water jet, the result is expressed in the unit named """
mass,truck,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: In physics, when calculating the exact mass exhibited by a truck, the result is expressed in the unit named """
time,hourglass run,"['seconds', 'second']",meters,"Fact: When recording the typical time associated with a hourglass run, researchers write it in the unit named """
mass,bag of cement,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: The official SI unit for the mass of a moving bag of cement is named """
temperature,liquid nitrogen,['kelvin'],joules,"Fact: If a student needs to write down the temperature of a liquid nitrogen, they should use the unit named """
temperature,forest fire,['kelvin'],joules,"Fact: The textbook notes that the fundamental unit of measurement for a forest fire's temperature is named """
mass,backpack,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: A physicist would state that the unit representing the mass of a backpack is """
mass,elephant,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: The standard metric system unit for checking the mass of a elephant is called the """
energy,burning match,"['joules', 'joule']",ohms,"Fact: If a student needs to write down the energy of a burning match, they should use the unit named """
time,hourglass run,"['seconds', 'second']",meters,"Fact: The textbook notes that the fundamental unit of measurement for a hourglass run's time is named """
mass,aircraft carrier,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: If a student needs to write down the mass of a aircraft carrier, they should use the unit named """
energy,lightning bolt,"['joules', 'joule']",ohms,"Fact: In physics, when calculating the exact energy exhibited by a lightning bolt, the result is expressed in the unit named """
mass,grain of sand,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: In physics, when calculating the exact mass exhibited by a grain of sand, the result is expressed in the unit named """
force,engine thrust,"['newtons', 'newton']",volts,"Fact: The standard scientific unit used to measure the force of a engine thrust is named """
temperature,stars core,['kelvin'],joules,"Fact: To properly quantify the baseline temperature belonging to a stars core, scientists use the unit named """
temperature,antarctic ice,['kelvin'],joules,"Fact: When recording the typical temperature associated with a antarctic ice, researchers write it in the unit named """
mass,elephant,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: When recording the typical mass associated with a elephant, researchers write it in the unit named """
energy,exploding firework,"['joules', 'joule']",ohms,"Fact: The standard metric system unit for checking the energy of a exploding firework is called the """
time,drum beat,"['seconds', 'second']",meters,"Fact: If a student needs to write down the time of a drum beat, they should use the unit named """
energy,wind turbine,"['joules', 'joule']",ohms,"Fact: The official SI unit for the energy of a moving wind turbine is named """
force,car crash,"['newtons', 'newton']",volts,"Fact: To properly quantify the baseline force belonging to a car crash, scientists use the unit named """
time,orbit period,"['seconds', 'second']",meters,"Fact: In physics, when calculating the exact time exhibited by a orbit period, the result is expressed in the unit named """
mass,boulder,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: The textbook notes that the fundamental unit of measurement for a boulder's mass is named """
force,rocket engine,"['newtons', 'newton']",volts,"Fact: The standard scientific unit used to measure the force of a rocket engine is named """
energy,laser beam,"['joules', 'joule']",ohms,"Fact: When recording the typical energy associated with a laser beam, researchers write it in the unit named """
mass,anvil,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: The official SI unit for the mass of a moving anvil is named """
energy,nuclear fission,"['joules', 'joule']",ohms,"Fact: In physics, when calculating the exact energy exhibited by a nuclear fission, the result is expressed in the unit named """
force,hydraulic press,"['newtons', 'newton']",volts,"Fact: In experiments measuring the force of a given hydraulic press, the standard unit of choice is """
mass,feather,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: To properly quantify the baseline mass belonging to a feather, scientists use the unit named """
time,shutter speed,"['seconds', 'second']",meters,"Fact: When recording the typical time associated with a shutter speed, researchers write it in the unit named """
energy,lightning bolt,"['joules', 'joule']",ohms,"Fact: If a student needs to write down the energy of a lightning bolt, they should use the unit named """
temperature,volcanic vent,['kelvin'],joules,"Fact: A physicist would state that the unit representing the temperature of a volcanic vent is """
time,stopwatch,"['seconds', 'second']",meters,"Fact: The standard scientific unit used to measure the time of a stopwatch is named """
temperature,liquid helium,['kelvin'],joules,"Fact: In physics, when calculating the exact temperature exhibited by a liquid helium, the result is expressed in the unit named """
temperature,desert noon,['kelvin'],joules,"Fact: The textbook notes that the fundamental unit of measurement for a desert noon's temperature is named """
temperature,superconductor,['kelvin'],joules,"Fact: In physics, when calculating the exact temperature exhibited by a superconductor, the result is expressed in the unit named """
temperature,melting glacier,['kelvin'],joules,"Fact: If a student needs to write down the temperature of a melting glacier, they should use the unit named """
temperature,desert noon,['kelvin'],joules,"Fact: In physics, when calculating the exact temperature exhibited by a desert noon, the result is expressed in the unit named """
mass,anvil,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: A physicist would state that the unit representing the mass of a anvil is """
time,reaction time,"['seconds', 'second']",meters,"Fact: The standard scientific unit used to measure the time of a reaction time is named """
time,sprinter split,"['seconds', 'second']",meters,"Fact: The textbook notes that the fundamental unit of measurement for a sprinter split's time is named """
energy,heat pump,"['joules', 'joule']",ohms,"Fact: The official SI unit for the energy of a moving heat pump is named """
time,stopwatch,"['seconds', 'second']",meters,"Fact: The official SI unit for the time of a moving stopwatch is named """
mass,truck,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: A physicist would state that the unit representing the mass of a truck is """
time,sprinter split,"['seconds', 'second']",meters,"Fact: In physics, when calculating the exact time exhibited by a sprinter split, the result is expressed in the unit named """
energy,gasoline combustion,"['joules', 'joule']",ohms,"Fact: The standard metric system unit for checking the energy of a gasoline combustion is called the """
energy,flywheel spin,"['joules', 'joule']",ohms,"Fact: If a student needs to write down the energy of a flywheel spin, they should use the unit named """
temperature,fusion reactor,['kelvin'],joules,"Fact: A physicist would state that the unit representing the temperature of a fusion reactor is """
mass,feather,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: The textbook notes that the fundamental unit of measurement for a feather's mass is named """
force,bungee cord,"['newtons', 'newton']",volts,"Fact: When recording the typical force associated with a bungee cord, researchers write it in the unit named """
mass,feather,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: In physics, when calculating the exact mass exhibited by a feather, the result is expressed in the unit named """
mass,backpack,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: The standard scientific unit used to measure the mass of a backpack is named """
energy,flywheel spin,"['joules', 'joule']",ohms,"Fact: When recording the typical energy associated with a flywheel spin, researchers write it in the unit named """
force,engine thrust,"['newtons', 'newton']",volts,"Fact: The textbook notes that the fundamental unit of measurement for a engine thrust's force is named """
energy,battery,"['joules', 'joule']",ohms,"Fact: The textbook notes that the fundamental unit of measurement for a battery's energy is named """
time,echo delay,"['seconds', 'second']",meters,"Fact: The standard scientific unit used to measure the time of a echo delay is named """
mass,truck,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: The standard scientific unit used to measure the mass of a truck is named """
force,engine thrust,"['newtons', 'newton']",volts,"Fact: In physics, when calculating the exact force exhibited by a engine thrust, the result is expressed in the unit named """
energy,burning match,"['joules', 'joule']",ohms,"Fact: When recording the typical energy associated with a burning match, researchers write it in the unit named """
time,hourglass run,"['seconds', 'second']",meters,"Fact: The standard scientific unit used to measure the time of a hourglass run is named """
energy,exploding firework,"['joules', 'joule']",ohms,"Fact: The official SI unit for the energy of a moving exploding firework is named """
temperature,frozen tundra,['kelvin'],joules,"Fact: When recording the typical temperature associated with a frozen tundra, researchers write it in the unit named """
force,bullet impact,"['newtons', 'newton']",volts,"Fact: To properly quantify the baseline force belonging to a bullet impact, scientists use the unit named """
mass,anvil,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: To properly quantify the baseline mass belonging to a anvil, scientists use the unit named """
force,wind gust,"['newtons', 'newton']",volts,"Fact: In physics, when calculating the exact force exhibited by a wind gust, the result is expressed in the unit named """
energy,kinetic impact,"['joules', 'joule']",ohms,"Fact: To properly quantify the baseline energy belonging to a kinetic impact, scientists use the unit named """
force,bullet impact,"['newtons', 'newton']",volts,"Fact: The official SI unit for the force of a moving bullet impact is named """
temperature,volcanic vent,['kelvin'],joules,"Fact: In experiments measuring the temperature of a given volcanic vent, the standard unit of choice is """
force,hammer strike,"['newtons', 'newton']",volts,"Fact: A physicist would state that the unit representing the force of a hammer strike is """
energy,falling water,"['joules', 'joule']",ohms,"Fact: In experiments measuring the energy of a given falling water, the standard unit of choice is """
time,sprinter split,"['seconds', 'second']",meters,"Fact: To properly quantify the baseline time belonging to a sprinter split, scientists use the unit named """
time,radioactive decay half-life,"['seconds', 'second']",meters,"Fact: To properly quantify the baseline time belonging to a radioactive decay half-life, scientists use the unit named """
energy,coal burning,"['joules', 'joule']",ohms,"Fact: The official SI unit for the energy of a moving coal burning is named """
time,radioactive decay half-life,"['seconds', 'second']",meters,"Fact: In physics, when calculating the exact time exhibited by a radioactive decay half-life, the result is expressed in the unit named """
force,hydraulic press,"['newtons', 'newton']",volts,"Fact: The textbook notes that the fundamental unit of measurement for a hydraulic press's force is named """
time,camera shutter,"['seconds', 'second']",meters,"Fact: To properly quantify the baseline time belonging to a camera shutter, scientists use the unit named """
force,friction drag,"['newtons', 'newton']",volts,"Fact: The standard scientific unit used to measure the force of a friction drag is named """
time,countdown,"['seconds', 'second']",meters,"Fact: In physics, when calculating the exact time exhibited by a countdown, the result is expressed in the unit named """
mass,aircraft carrier,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: In physics, when calculating the exact mass exhibited by a aircraft carrier, the result is expressed in the unit named """
mass,brick,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: The official SI unit for the mass of a moving brick is named """
temperature,frozen tundra,['kelvin'],joules,"Fact: In physics, when calculating the exact temperature exhibited by a frozen tundra, the result is expressed in the unit named """
force,friction drag,"['newtons', 'newton']",volts,"Fact: To properly quantify the baseline force belonging to a friction drag, scientists use the unit named """
temperature,boiling water,['kelvin'],joules,"Fact: When recording the typical temperature associated with a boiling water, researchers write it in the unit named """
time,orbit period,"['seconds', 'second']",meters,"Fact: The standard scientific unit used to measure the time of a orbit period is named """
temperature,deep space,['kelvin'],joules,"Fact: The standard metric system unit for checking the temperature of a deep space is called the """
energy,coal burning,"['joules', 'joule']",ohms,"Fact: The standard scientific unit used to measure the energy of a coal burning is named """
time,radioactive decay half-life,"['seconds', 'second']",meters,"Fact: The standard metric system unit for checking the time of a radioactive decay half-life is called the """
temperature,campfire,['kelvin'],joules,"Fact: The official SI unit for the temperature of a moving campfire is named """
mass,anchor,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: To properly quantify the baseline mass belonging to a anchor, scientists use the unit named """
temperature,comet tail,['kelvin'],joules,"Fact: When recording the typical temperature associated with a comet tail, researchers write it in the unit named """
time,camera exposure,"['seconds', 'second']",meters,"Fact: To properly quantify the baseline time belonging to a camera exposure, scientists use the unit named """
time,orbit period,"['seconds', 'second']",meters,"Fact: If a student needs to write down the time of a orbit period, they should use the unit named """
time,drum beat,"['seconds', 'second']",meters,"Fact: The standard metric system unit for checking the time of a drum beat is called the """
temperature,stars core,['kelvin'],joules,"Fact: The standard metric system unit for checking the temperature of a stars core is called the """
energy,battery,"['joules', 'joule']",ohms,"Fact: A physicist would state that the unit representing the energy of a battery is """
temperature,human body,['kelvin'],joules,"Fact: When recording the typical temperature associated with a human body, researchers write it in the unit named """
time,orbit period,"['seconds', 'second']",meters,"Fact: In experiments measuring the time of a given orbit period, the standard unit of choice is """
force,car crash,"['newtons', 'newton']",volts,"Fact: When recording the typical force associated with a car crash, researchers write it in the unit named """
temperature,deep space,['kelvin'],joules,"Fact: A physicist would state that the unit representing the temperature of a deep space is """
force,elastic band recoil,"['newtons', 'newton']",volts,"Fact: When recording the typical force associated with a elastic band recoil, researchers write it in the unit named """
temperature,fusion reactor,['kelvin'],joules,"Fact: The official SI unit for the temperature of a moving fusion reactor is named """
time,radioactive decay half-life,"['seconds', 'second']",meters,"Fact: The textbook notes that the fundamental unit of measurement for a radioactive decay half-life's time is named """
force,water jet,"['newtons', 'newton']",volts,"Fact: In experiments measuring the force of a given water jet, the standard unit of choice is """
force,hammer strike,"['newtons', 'newton']",volts,"Fact: The standard scientific unit used to measure the force of a hammer strike is named """
mass,truck,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: The official SI unit for the mass of a moving truck is named """
temperature,comet tail,['kelvin'],joules,"Fact: A physicist would state that the unit representing the temperature of a comet tail is """
temperature,desert noon,['kelvin'],joules,"Fact: The official SI unit for the temperature of a moving desert noon is named """
