Operand1,Operand2,Answer,DistractorAnswer,OnesDigitPair,sentence
52,72,124,134,2+2,Question: What is 52 + 72? Answer:
76,39,115,105,6+9,Question: What is 76 + 39? Answer:
23,54,77,87,3+4,Question: What is 23 + 54? Answer:
62,47,109,119,2+7,Question: What is 62 + 47? Answer:
67,18,85,75,7+8,Question: What is 67 + 18? Answer:
81,49,130,120,1+9,Question: What is 81 + 49? Answer:
25,26,51,41,5+6,Question: What is 25 + 26? Answer:
94,22,116,126,4+2,Question: What is 94 + 22? Answer:
66,28,94,84,6+8,Question: What is 66 + 28? Answer:
57,25,82,72,7+5,Question: What is 57 + 25? Answer:
41,23,64,74,1+3,Question: What is 41 + 23? Answer:
94,91,185,195,4+1,Question: What is 94 + 91? Answer:
64,25,89,99,4+5,Question: What is 64 + 25? Answer:
86,13,99,109,6+3,Question: What is 86 + 13? Answer:
32,19,51,41,2+9,Question: What is 32 + 19? Answer:
20,38,58,68,0+8,Question: What is 20 + 38? Answer:
55,10,65,75,5+0,Question: What is 55 + 10? Answer:
96,51,147,157,6+1,Question: What is 96 + 51? Answer:
46,50,96,106,6+0,Question: What is 46 + 50? Answer:
81,53,134,144,1+3,Question: What is 81 + 53? Answer:
20,98,118,128,0+8,Question: What is 20 + 98? Answer:
45,41,86,96,5+1,Question: What is 45 + 41? Answer:
43,89,132,122,3+9,Question: What is 43 + 89? Answer:
94,83,177,187,4+3,Question: What is 94 + 83? Answer:
99,42,141,131,9+2,Question: What is 99 + 42? Answer:
96,14,110,100,6+4,Question: What is 96 + 14? Answer:
62,70,132,142,2+0,Question: What is 62 + 70? Answer:
80,17,97,107,0+7,Question: What is 80 + 17? Answer:
95,66,161,151,5+6,Question: What is 95 + 66? Answer:
52,24,76,86,2+4,Question: What is 52 + 24? Answer:
91,68,159,169,1+8,Question: What is 91 + 68? Answer:
11,32,43,53,1+2,Question: What is 11 + 32? Answer:
58,38,96,86,8+8,Question: What is 58 + 38? Answer:
19,39,58,48,9+9,Question: What is 19 + 39? Answer:
57,83,140,130,7+3,Question: What is 57 + 83? Answer:
93,50,143,153,3+0,Question: What is 93 + 50? Answer:
85,42,127,137,5+2,Question: What is 85 + 42? Answer:
53,25,78,88,3+5,Question: What is 53 + 25? Answer:
80,92,172,182,0+2,Question: What is 80 + 92? Answer:
91,98,189,199,1+8,Question: What is 91 + 98? Answer:
32,74,106,116,2+4,Question: What is 32 + 74? Answer:
93,61,154,164,3+1,Question: What is 93 + 61? Answer:
28,34,62,52,8+4,Question: What is 28 + 34? Answer:
65,12,77,87,5+2,Question: What is 65 + 12? Answer:
53,47,100,90,3+7,Question: What is 53 + 47? Answer:
88,73,161,151,8+3,Question: What is 88 + 73? Answer:
13,32,45,55,3+2,Question: What is 13 + 32? Answer:
86,59,145,135,6+9,Question: What is 86 + 59? Answer:
80,53,133,143,0+3,Question: What is 80 + 53? Answer:
40,59,99,109,0+9,Question: What is 40 + 59? Answer:
93,61,154,164,3+1,Question: What is 93 + 61? Answer:
18,56,74,64,8+6,Question: What is 18 + 56? Answer:
35,78,113,103,5+8,Question: What is 35 + 78? Answer:
49,87,136,126,9+7,Question: What is 49 + 87? Answer:
56,83,139,149,6+3,Question: What is 56 + 83? Answer:
74,38,112,102,4+8,Question: What is 74 + 38? Answer:
22,80,102,112,2+0,Question: What is 22 + 80? Answer:
66,70,136,146,6+0,Question: What is 66 + 70? Answer:
48,11,59,69,8+1,Question: What is 48 + 11? Answer:
92,41,133,143,2+1,Question: What is 92 + 41? Answer:
79,35,114,104,9+5,Question: What is 79 + 35? Answer:
76,11,87,97,6+1,Question: What is 76 + 11? Answer:
52,29,81,71,2+9,Question: What is 52 + 29? Answer:
65,29,94,84,5+9,Question: What is 65 + 29? Answer:
